id,college_name,university_id,affiliation,status,domain_name
1,"DR.B.R. AMBEDKAR INSTITUTE OF TECHNOLOGY, PUDUCHERRY",458,Affiliated College,1,
2,"JAWAHARLAL NEHRU RAJKEEYA MAHAVIDYALAYA, PUDUCHERRY",458,Affiliated College,1,
3,"MAHATMA GANDHI GOVT. COLLEGE, PUDUCHERRY",458,Affiliated College,1,
4,"PONDICHERRY UNIVERSITY CAMPUS II, PUDUCHERRY",458,PG Center / Off-Campus Center,1,
5,"REGIONAL MEDICAL RESEARCH INSTITUTE (I.C.M.R.), PUDUCHERRY",458,Affiliated College,1,
6,"TAGORE GOVERNMENT COLLEGE OF EDUCATION, PUDUCHERRY",458,Affiliated College,1,
7,"ZOOLOGICAL SURVEY OF INDIA, PUDUCHERRY",458,Affiliated College,1,
8,"A B R COLLEGE OF ENGINEERING AND TECHNOLOGY, PIN-523230 (CC-HJ), KAKINADA",12,Affiliated College,1,
9,"A S R COLLEGE OF ENGINEERING & TECHNOLOGY, PIN-533003 (CC-6Y), KAKINADA",12,Affiliated College,1,
10,"A.B.M. COLLEGE, GUNTUR",2,Affiliated College,1,
11,"A.B.R COLLEGE OF EDUCATION, GUNTUR",2,Affiliated College,1,
12,"A.C.COLLEGE (DAY), GUNTUR",2,Affiliated College,1,
13,"A.C.COLLEGE OF LAW, GUNTUR",2,Affiliated College,1,
14,"A.C.EVENING COLLEGE, GUNTUR",2,Affiliated College,1,
15,"A.G. & S.G.S. COLLEGE, MACHHLIPATTANAM",14,Affiliated College,1,
16,"A.G.K.M.COLLEGE, GUNTUR",2,Affiliated College,1,
17,"A.G.L.DEGREE COLLEGE, VISAKHAPATNAM",4,Affiliated College,1,
18,"A.J. COLLEGE OF EDUCATION, MACHHLIPATTANAM",14,Affiliated College,1,
19,"A.J. KALASALA, MACHHLIPATTANAM",14,Affiliated College,1,
20,"A.K.R.G. COLLEGE, EAST GODAWARI",3,Affiliated College,1,
21,"A.K.R.G. COLLEGE OF ENGINEERING AND TECHNOLOGY, NALLAJERLA-534112, (CC-HK), KAKINADA",12,Affiliated College,1,
22,"A.K.R.G. DEGREE COLLEGE, VISAKHAPATNAM",4,Affiliated College,1,
23,"A.L.COLLEGE OF EDUCATION, GUNTUR",2,Affiliated College,1,
24,"A.M REDDY COLLEGE OF EDUCATION, GUNTUR",2,Affiliated College,1,
25,"A.M. LINGANNA COLLEGE OF EDUCATION, HINDUPUR, ANANTAPUR",19,Affiliated College,1,
26,"A.M. REDDY MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY, VINUKONDA ROAD, NARASARAOPET(MANDAL), PIN-522601(CC-HM), KAKINADA",12,Affiliated College,1,
27,"A.M. REDDY MEMORIAL COLLEGE OF PHARMACY, GUNTUR",2,Affiliated College,1,
28,"A.M.A.L. DEGREE COLLEGE, ANAKAPALLE, VISAKHAPATNAM",4,Affiliated College,1,
29,"A.M.G. COLLEGE OF EDUCATION FOR WOMEN, VISAKHAPATNAM",4,Affiliated College,1,
30,"A.M.G.COLLEGE OF EDUCATION, GUNTUR",2,Affiliated College,1,
31,"A.M.G.DEGREE COLLEGE FOR WOMEN, GUNTUR",2,Affiliated College,1,
