id,college_name,university_id,affiliation,status,domain_name
1,"Dr.B.R. Ambedkar Institute Of Technology, Puducherry",458,Affiliated College,1,
2,"Jawaharlal Nehru Rajkeeya Mahavidyalaya, Puducherry",458,Affiliated College,1,
3,"Mahatma Gandhi Govt. College, Puducherry",458,Affiliated College,1,
4,"Pondicherry University Campus Ii, Puducherry",458,PG Center / Off-Campus Center,1,
5,"Regional Medical Research Institute (I.C.M.R.), Puducherry",458,Affiliated College,1,
6,"Tagore Government College Of Education, Puducherry",458,Affiliated College,1,
7,"Zoological Survey Of India, Puducherry",458,Affiliated College,1,
8,"A B R College Of Engineering And Technology, Pin",12,Affiliated College,1,
9,"A S R College Of Engineering & Technology, Pin",12,Affiliated College,1,
10,"A.B.M. College, Guntur",2,Affiliated College,1,
11,"A.B.R College Of Education, Guntur",2,Affiliated College,1,
12,"A.C.College (Day), Guntur",2,Affiliated College,1,
13,"A.C.College Of Law, Guntur",2,Affiliated College,1,
14,"A.C.Evening College, Guntur",2,Affiliated College,1,
15,"A.G. & S.G.S. College, Machhlipattanam",14,Affiliated College,1,
16,"A.G.K.M.College, Guntur",2,Affiliated College,1,
17,"A.G.L.Degree College, Visakhapatnam",4,Affiliated College,1,
18,"A.J. College Of Education, Machhlipattanam",14,Affiliated College,1,
19,"A.J. Kalasala, Machhlipattanam",14,Affiliated College,1,
20,"A.K.R.G. College, East Godawari",3,Affiliated College,1,
21,"A.K.R.G. College Of Engineering And Technology, Nallajerla",12,Affiliated College,1,
22,"A.K.R.G. Degree College, Visakhapatnam",4,Affiliated College,1,
23,"A.L.College Of Education, Guntur",2,Affiliated College,1,
24,"A.M Reddy College Of Education, Guntur",2,Affiliated College,1,
25,"A.M. Linganna College Of Education, Hindupur",19,Affiliated College,1,
26,"A.M. Reddy Memorial College Of Engineering And Technology, Vinukonda Road",12,Affiliated College,1,
27,"A.M. Reddy Memorial College Of Pharmacy, Guntur",2,Affiliated College,1,
28,"A.M.A.L. Degree College, Anakapalle",4,Affiliated College,1,
29,"A.M.G. College Of Education For Women, Visakhapatnam",4,Affiliated College,1,
30,"A.M.G.College Of Education, Guntur",2,Affiliated College,1,
31,"A.M.G.Degree College For Women, Guntur",2,Affiliated College,1,
32,"A.N.K. Degree College, Gorantla",19,Affiliated College,1,
33,"A.N.R. College, Machhlipattanam",14,Affiliated College,1,
34,"A.N.R. P.L. Arts & Science College, Machhlipattanam",14,Affiliated College,1,
35,"A.P.Residential Degree College, Guntur",2,Affiliated College,1,
36,"A.Q.J. Centre For P.G. Studies, Visakhapatnam",4,Affiliated College,1,
37,"A.Q.J. College Of Pharmacy, Visakhapatnam",4,Affiliated College,1,
38,"A.Q.J. Degree College, Visakhapatnam",4,Affiliated College,1,
39,"A.S.Degree College Tugalli, University Kurnool",17,Affiliated College,1,
40,"A.S.Govt.Degree College For Women, Kakinada",3,Affiliated College,1,
41,"A.S.M & A.W. D Womens Degree College, Guntur",2,Affiliated College,1,
42,"A.S.N Pharmacy College, Tenali",2,Affiliated College,1,
43,"A.S.N. Womens Engineering College, Kamala Educational Society",12,Affiliated College,1,
44,"A.S.N.Degree College For Women, Visakhapatnam",4,Affiliated College,1,
45,"A.S.N.M. Govt. Degree College For Men, East Godawari",3,Affiliated College,1,
