id,course
1,Civil Engineering 
2,Computer Engineering 
3,Electrical Engineering 
4,Electronics And Communications Engineering 
5,Hotel Management  &  Catering Technology 
6,Information Technology 
7,Mechanical Engineering 
8,Computer Science & Engineering 
9,Electronics & Communication Engg 
10,Industrial Pharmacy 
11,Pharmaceutical Analysis 
12,Pharmaceutical Chemistry 
13,Pharmaceutics 
14,Pharmacy Practice 
15,Pharmacy 
16,Applied Electronics And Instrumentation Engineering 
17,Electrical And Electronics Engineering 
18,Pharmaceutical Analysis And Quality Assurance 
19,Pharmacology 
20,Computer Science And Engineering 
21,Thermal Engineering 
22,Masters In Business Administration 
23,Power Systems 
24,Structural Design 
25,Transportation Engineering 
26,Vlsi 
27,Agricultural Engineering 
28,Masters In Computer Applications 
29,Medical Chemistry 
30,Pharmaceutical Biotechnology 
31,Pharmaceutical Technology 
32,Pharmacognosy And Phytochemistry 
33,Automobile Engineering 
34,Cad/cam 
35,Computer Sceince & Engineering 
36,Embedded Systems 
37,Machine Design 
38,Power And Industrial Drives 
39,Structural Engineering 
40,Computer Aided Structural Analysis And Design 
41,Embedded System And Vlsi 
42,Power Electronics 
43,Vlsi And Embedded Systems 
44,Mining Engineering 
45,Masters Of Applied Management 
46,Electrical Power Systems 
47,Power Electronics And Drives 
48,Cad Cam 
49,Computer Science 
50,Petroleum Engineering 
51,Software Engineering 
52,Vlsi Design 
53,Petroleum Technology 
54,Post Graduate Diploma In Management ( Post Graduate Diploma )
55,Civil Engin
56,Post Graduate Diploma In Management (business Management) ( Post Graduate Diploma )
57,Pharmaceutical Analysis And Quality Control 
58,Digital Electronics And Communication Systems 
59,Vlsi System Design 
60,Electric Power System 
61,Master Of Computer Applications 
62,Vlsi And Embedded Systems Design 
63,Architecture Assistantship 
64,Artificial Intelligence 
65,Bioinformatics 
66,Biomedical Engineering 
67,Biotechnology 
68,Cad/cam Engineering 
69,Chemical Engineering 
70,Chemical Technology(rubber / Plastic) 
71,Computer Applications 
72,Computer Networks 
73,Computer Science & Technology 
74,Control Systems 
75,Electronics And Instrumentation Engineering 
76,Environmental Engineering And Management 
77,Geo Informatics 
78,Heat Power Engineering 
79,Hydraulics Engineering 
80,Industrial Engineering 
81,Industrial Instrumentation And Control 
82,Industrial Pollution Control ( Post
83,Communication Systems 
84,Computer Science And Technology 
85,Pharmaceutics (drug Regulatory Affairs) 
86,Computer Aided Design And Manufacture 
87,Electrical Power Engineering 
88,Electronics And Electrical Engineering
89,Digital Systems And Computer Electronics 
90,Production Engineering And Engineering Design 
91,Communication Engineering And Signal Processing 
92,Digital Image Processing 
93,Power Systems Engineering 
94,Applied Electronics 
95,Power Electronics And Electrical Drives 
96,Highway Engineering 
97,Electronics & Instrumentation Engineering 
98,Electronics & Communication Engg(industry Integrated) 
99,Structural Engineering And Construction Management 
100,Civil Engineering (2 Shift)
101,Advanced Manufacturing Systems 
102,Computer Aided Structural Engineering 
103,Soil Mechanics And Foundation Engineering 
104,Business Management 
105,Pharmaceutical Management And Regulatory Affairs 
106,Power Systems Control And Automation Engineering 
