id,college_name,university_id,affiliation,status,domain_name
1,DR.B.R. AMBEDKAR INSTITUTE OF TECHNOLOGY,458,Affiliated College,1,
2,JAWAHARLAL NEHRU RAJKEEYA MAHAVIDYALAYA,458,Affiliated College,1,
3,MAHATMA GANDHI GOVT. COLLEGE,458,Affiliated College,1,
4,PONDICHERRY UNIVERSITY CAMPUS II,458,PG Center / Off-Campus Center,1,
5,REGIONAL MEDICAL RESEARCH INSTITUTE (I.C.M.R.),458,Affiliated College,1,
6,TAGORE GOVERNMENT COLLEGE OF EDUCATION,458,Affiliated College,1,
7,ZOOLOGICAL SURVEY OF INDIA,458,Affiliated College,1,
8,"A B R COLLEGE OF ENGINEERING AND TECHNOLOGY, PIN-523230 (CC-HJ)",12,Affiliated College,1,
9,"A S R COLLEGE OF ENGINEERING & TECHNOLOGY, PIN-533003 (CC-6Y)",12,Affiliated College,1,
10,A.B.M. COLLEGE,2,Affiliated College,1,
11,A.B.R COLLEGE OF EDUCATION,2,Affiliated College,1,
12,A.C.COLLEGE (DAY),2,Affiliated College,1,
13,A.C.COLLEGE OF LAW,2,Affiliated College,1,
14,A.C.EVENING COLLEGE,2,Affiliated College,1,
15,A.G. & S.G.S. COLLEGE,14,Affiliated College,1,
16,A.G.K.M.COLLEGE,2,Affiliated College,1,
17,A.G.L.DEGREE COLLEGE,4,Affiliated College,1,
18,A.J. COLLEGE OF EDUCATION,14,Affiliated College,1,
19,A.J. KALASALA,14,Affiliated College,1,
20,A.K.R.G. COLLEGE,3,Affiliated College,1,
21,"A.K.R.G. COLLEGE OF ENGINEERING AND TECHNOLOGY, NALLAJERLA-534112, (CC-HK)",12,Affiliated College,1,
22,A.K.R.G. DEGREE COLLEGE,4,Affiliated College,1,
23,A.L.COLLEGE OF EDUCATION,2,Affiliated College,1,
24,A.M REDDY COLLEGE OF EDUCATION,2,Affiliated College,1,
25,"A.M. LINGANNA COLLEGE OF EDUCATION, HINDUPUR",19,Affiliated College,1,
26,"A.M. REDDY MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY, VINUKONDA ROAD, NARASARAOPET(MANDAL), PIN-522601(CC-HM)",12,Affiliated College,1,
27,A.M. REDDY MEMORIAL COLLEGE OF PHARMACY,2,Affiliated College,1,
28,"A.M.A.L. DEGREE COLLEGE, ANAKAPALLE",4,Affiliated College,1,
29,A.M.G. COLLEGE OF EDUCATION FOR WOMEN,4,Affiliated College,1,
30,A.M.G.COLLEGE OF EDUCATION,2,Affiliated College,1,
31,A.M.G.DEGREE COLLEGE FOR WOMEN,2,Affiliated College,1,
32,"A.N.K. DEGREE COLLEGE, GORANTLA",19,Affiliated College,1,
33,A.N.R. COLLEGE,14,Affiliated College,1,
34,A.N.R. P.L. ARTS & SCIENCE COLLEGE,14,Affiliated College,1,
35,A.P.RESIDENTIAL DEGREE COLLEGE,2,Affiliated College,1,
36,A.Q.J. CENTRE FOR P.G. STUDIES,4,Affiliated College,1,
37,A.Q.J. COLLEGE OF PHARMACY,4,Affiliated College,1,
38,A.Q.J. DEGREE COLLEGE,4,Affiliated College,1,
39,A.S.DEGREE COLLEGE TUGALLI,17,Affiliated College,1,
40,"A.S.GOVT.DEGREE COLLEGE FOR WOMEN, KAKINADA",3,Affiliated College,1,
41,A.S.M & A.W. D WOMENS DEGREE COLLEGE,2,Affiliated College,1,
42,"A.S.N PHARMACY COLLEGE, TENALI",2,Affiliated College,1,
43,"A.S.N. WOMENS ENGINEERING COLLEGE, KAMALA EDUCATIONAL SOCIETY, BURRIPALEM ROAD, TENALI-522201(CC-JT)",12,Affiliated College,1,
44,A.S.N.DEGREE COLLEGE FOR WOMEN,4,Affiliated College,1,
45,A.S.N.M. GOVT. DEGREE COLLEGE FOR MEN,3,Affiliated College,1,
46,A.S.R. DEGREE COLLEGE,3,Affiliated College,1,
47,"A.U.CAMPUS, T.P.GUDEM",4,PG Center / Off-Campus Center,1,
48,"A.U.CAMPUS, VZM",4,PG Center / Off-Campus Center,1,
49,"A.U.M.S.N.P.G.CENTRE, KKD",4,PG Center / Off-Campus Center,1,
50,A.V.R. AND V.P.R. DEGREE COLLEGE,4,Affiliated College,1,
51,A.V.R. DEGREE COLLEGE,14,Affiliated College,1,
52,"A1 GLOBAL INSTITUTE OF ENGINEERING & TECHNOLOGY, MARKAPUR- 523316 (CC-7Y)",12,Affiliated College,1,
53,"AADITYA DEGREE COLLEGE, NELLORE",27,Affiliated College,1,
54,"AADITYA PG COLLEGE, NELLORE",27,Affiliated College,1,
55,AAZAD COLLEGE OF EDUCATION,2,Affiliated College,1,
56,ABHINAV INSTITUTE OF MANAGEMENT & TECHNOLOGY,12,Affiliated College,1,
57,ABHYUDAYA DEGREE COLLEGE,4,Affiliated College,1,
59,ABHYUDAYA MAHILA DEGREE COLLEGE,2,Affiliated College,1,
60,ABM DEGREE COLLEGE,4,Affiliated College,1,
61,"ACADEMY OF LIFE SCIENCES (NURSING), VISAKHAPATNAM",6,Affiliated College,1,
62,ACADEMY OF YOGA CONSCIOUSNESS,4,Affiliated College,1,
63,"ACCORD BUSINESS SCHOOL, CHIGURUVADA (V), TIRUPATI",23,Affiliated College,1,
64,ACHARYA N.G.RANGA COLLEGE OF EDUCATION,2,Affiliated College,1,
65,ACTS DEGREE COLLEGE (AMBEDKAR COLLEGE OF TECH. & SCI.),4,Affiliated College,1,
66,ADARSA COLLEGE OF EDUCATION,2,Affiliated College,1,
67,"ADARSA COLLEGE OF PARAMEDICAL SCIENCES (B.SC MLT), KAKINADA",6,Affiliated College,1,
68,"ADARSA COLLEGE OF PHARMACY, G.KOTHAPALLI, GOKAVARAM (M), PIN- 533285(CC-PE)",12,Affiliated College,1,
69,ADARSA DEGREE COLLEGE,3,Affiliated College,1,
70,ADARSA DEGREE COLLEGE FOR WOMEN,2,Affiliated College,1,
71,"ADARSH COLLEGE OF ENGINEERING, NH-214, CHEBROLU,PIN-533449 (CC-HN)",12,Affiliated College,1,
72,"ADARSHA COLLEGE OF NURSING, ANANTAPUR",6,Affiliated College,1,
73,"ADDANKI INSTITUTE OF MANAGEMENT & SCIENCE, NEAR SINGARA KONDA, NRT ROAD, NORTH ADDANKI-523201 (CC-8D)",12,Affiliated College,1,
74,"ADITYA COLLEGE OF ENGINEERING, MADANAPALLE",11,Affiliated College,1,
75,"ADITYA COLLEGE OF NURSING, KAKINADA",6,Affiliated College,1,
76,ADITYA DEGREE & P.G. COLLEGE,7,Affiliated College,1,
77,ADITYA DEGREE COLLEGE,7,Affiliated College,1,
79,"ADITYA DEGREE COLLEGE FOR WOMEN, RAJAHMUNDRY",4,Affiliated College,1,
80,"ADITYA DEGREE COLLEGE FOR WOMEN, SANTINAGAR, KAKINADA",4,Affiliated College,1,
81,ADITYA DEGREE COLLEGE ICHAPURAM,7,Affiliated College,1,
82,"ADITYA DEGREE COLLEGE, CINEMA ROAD, TATIPAKA",3,Affiliated College,1,
83,"ADITYA DEGREE COLLEGE, GOPALAPATNAM, VISAKHAPATNAM",4,Affiliated College,1,
84,"ADITYA DEGREE COLLEGE, NEAR RTC COMPLEX, VSP",4,Affiliated College,1,
85,"ADITYA DEGREE COLLEGE, PALAKOL",3,Affiliated College,1,
86,"ADITYA DEGREE COLLEGE, SANTINAGAR, KAKINADA",3,Affiliated College,1,
87,"ADITYA DEGREE COLLEGE, THADITHOTA, RAJAHMUNDRY, EG DIST",4,Affiliated College,1,
88,"ADITYA DEGREE COLLEGE, VIZIANAGARAM",4,Affiliated College,1,
89,"ADITYA ENGINEERING COLLEGE, ADITYA NAGAR, ADB RAOD, SURAMPALEM, PIN-533437(CC-A9)",12,Affiliated College,1,
