id,university_name,university_type,website,country_id
1,"A.P. University Of Law, Vishakhapatnam",State Public University,https://dsnlu.ac.in,99
2,"Acharya Nagarjuna University, Guntur",State Public University,www.anu.ac.in,99
3,"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University,www.nannayauniversity.info,99
4,"Andhra University, Visakhapatnam",State Public University,www.andhrauniversity.edu.in,99
5,Dr Y S R Horticulture University,State Public University,www.drysrhu.edu.in,99
6,"Dr. N.T.R. University Of Health Sciences, Vijaywada",State Public University,http://ntruhs.ap.nic.in,99
7,"Dr.B.R.Ambedkar University, Etcherla",State Public University,www.brau.in,99
8,"Dravidian University, Kuppam, Chittoor District",State Public University,www.dravidianuniversity.ac.in,99
9,"Gandhi Institute Of Technology & Management (Gitam) University, Visakhapatnam",Deemed University-Private,www.gitam.edu,99
10,Indian Institute Of Information Technology,Others,-,99
11,"Jawaharlal Nehru Technological University, Anantapur",State Public University,www.jntua.ac.in,99
12,"Jawaharlal Nehru Technological University, Kakinada",State Public University,www.jntuk.edu.in,99
13,"Koneru Lakshmaiah Education Foundation,Guntur",Deemed University-Private,www.kluniversity.in,99
14,"Krishna University, Machhlipattanam",State Public University,www.krishnauniversity.in,99
15,Rajiv Gandhi University Of Knowledge Technologies,State Public University,http://www.rgukt.in,99
16,"Rastriya Sanskrit Vidyapeeth, Tirupathi",Deemed University-Government,www.rsvidyapeetha.ac.in,99
17,"Rayalaseema, University Kurnool",State Public University,www.rayalaseemauniversity.ac.in,99
18,School Of Planning & Architecture Vijaywada,Others,www.spav.ac.in,99
19,"Sri Krishnadevaraya University, Anantapur",State Public University,skuniversity.org,99
20,"Sri Padmavathi Mahila Visva Vidyalayam, Tirupathi",State Public University,www.spmvv.ac.in,99
21,"Sri Satya Sai Institute Of Higher Learning, Anantpur",Deemed University-Private,www.sssihl.edu.in,99
22,"Sri Venkateswara Institute Of Medical Sciences, Tirupathi",Institute under State Legislature Act,www.svimstpt.ap.nic.in,99
23,"Sri Venkateswara University, Tirupathy",State Public University,www.svuniversity.in,99
24,"Sri Venkateswara Vedic University, Tirpupathi",State Public University,www.svvedicuniversity.org,99
25,"Sri Venkateswara Veterinary University, Tirupathi",State Public University,www.svvu.edu.in,99
26,"Vignan's Foundation Of Science, Technology & Research, Guntur",Deemed University-Private,www.vignanuniversity.org,99
27,"Vikram Simhapuri University, Nellore",State Public University,www.simhapuriuniv.org,99
28,"Yogi Vemana University, Kadapa",State Public University,www.yogivemanauniversity.ac.in,99
29,Apex Professional University,State Private University,,99
30,Arunachal University Of Studies,State Private University,,99
31,"Himalayan University, Itanagar",State Private University,,99
32,"Indira Gandhi Technological And Medical Sciences University, Ziro",State Private University,www.igtamsu.ac.in,99
33,National Institute Of Technology Arunachal Pradesh,Institute of National Importance,www.nitap.in,99
34,"North Eastern Regional Institute Of Science & Technology, Papum Pare, Itanagar",Deemed University-Government,www.nerist.ac.in,99
35,"Rajiv Gandhi University, Itanagar",Central University,www.rgu.ac.in,99
36,"Assam Agricultural University, Jorhat",State Public University,www.aau.ac.in,99
37,"Assam Don Bosco University, Guwahati",State Private University,www.dbuniversity.ac.in,99
38,Assam Down Town University,State Private University,www.adtu.in,99
39,Assam Rajiv Gandhi University Of Cooperative Management,State Public University,,99
40,Assam Science And Technology University,State Public University,www.astu.org.in,99
41,"Assam University, Silchar",Central University,http://www.aus.ac.in,99
42,Bodoland University,State Public University,bodolanduniversity.ac.in,99
43,Cotton College State University,State Public University,www.ccsu.ac.in,99
44,"Dibrugarh University, Dibrugarh",State Public University,dibru.ac.in,99
45,"Gauhati University, Guwahati",State Public University,www.gauhati.ac.in,99
46,"Indian Institute Of Technology, Guwahati",Institute of National Importance,"www.iitg.ernet.in, www.iitg.ac.in",99
47,Kaziranga University,State Private University,www.kazirangauniversity.in,99
48,"Krishna Kanta Hanidiqui State Open University, Guwahati",State Open University,http://www.kkhsou.in,99
49,Kumar Bhaskar Varma Sanskrit And Ancient Studies University,State Public University,www.kbvsasuni.ac.in,99
50,"National Institute Of Technology, Silchar",Institute of National Importance,www.nits.ac.in,99
51,National Law University And Judicial Academy,State Public University,www.nluassam.ac.in,99
52,"Srimanta Sankaradeva University Of Health Sciences, Guwahati",State Public University,www.ssuhs.in,99
53,"Tezpur University, Tezpur",Central University,www.tezu.ernet.in,99
